geneID,Gene_name,gid
8672,EIF4G3,113
2597,GAPDH,114
10645,CAMKK2,115
84254,CAMKK1,116
466,ATF1,117
6853,SYN1,118
6697,SPR,119
818,CAMK2G,120
286075,ZNF707,121
4188,MDFI,122
814,CAMK4,123
9759,HDAC4,124
5970,RELA,125
1387,CREBBP,126
84872,ZC3H10,127
11030,RBPMS,128
6310,ATXN1,129
55905,RNF114,130
26289,AK5,131
27246,RNF115,132
7879,RAB7A,133
79882,ZC3H14,134
54474,KRT20,135
23265,EXOC7,136
6693,SPN,137
1616,DAXX,138
2534,FYN,139
7430,EZR,140
1499,CTNNB1,141
4478,MSN,142
3383,ICAM1,143
3956,LGALS1,144
6614,SIGLEC1,145
54778,RNF111,146
4092,SMAD7,147
4091,SMAD6,148
8312,AXIN1,149
4088,SMAD3,150
2902,GRIN1,151
5518,PPP2R1A,152
2521,FUS,153
6709,SPTAN1,154
3265,HRAS,155
5605,MAP2K2,156
5335,PLCG1,157
7187,TRAF3,158
1759,DNM1,159
1213,CLTC,160
11113,CIT,161
821,CANX,162
1741,DLG3,163
1740,DLG2,164
1742,DLG4,165
4747,NEFL,166
4133,MAP2,167
4627,MYH9,168
3192,HNRNPU,169
116443,GRIN3A,170
3303,HSPA1A,171
22839,DLGAP4,172
1846,DUSP4,173
1000,CDH2,174
2048,EPHB2,175
5911,RAP2A,176
4763,NF1,177
2050,EPHB4,178
5520,PPP2R2A,179
5579,PRKCB,180
5581,PRKCE,181
815,CAMK2A,182
5582,PRKCG,183
5327,PLAT,184
8831,SYNGAP1,185
6670,SP3,186
7082,TJP1,187
88,ACTN2,188
6197,RPS6KA3,189
340719,NANOS1,190
7804,LRP8,191
10142,AKAP9,192
1812,DRD1,193
2904,GRIN2B,194
2903,GRIN2A,195
2906,GRIN2D,196
9118,INA,197
23761,PISD,198
221955,DAGLB,199
54505,DHX29,200
1660,DHX9,201
6606,SMN1,202
672,BRCA1,203
10657,KHDRBS1,204
10594,PRPF8,205
3725,JUN,206
2959,GTF2B,207
26993,AKAP8L,208
3183,HNRNPC,209
7153,TOP2A,210
5111,PCNA,211
3069,HDLBP,212
10482,NXF1,213
3276,PRMT1,214
11218,DDX20,215
5430,POLR2A,216
6628,SNRPB,217
6732,SRPK1,218
6780,STAU1,219
6629,SNRPB2,220
6908,TBP,221
50628,GEMIN4,222
8932,MBD2,223
3609,ILF3,224
6949,TCOF1,225
10528,NOP56,226
7343,UBTF,227
1459,CSNK2A2,228
4928,NUP98,229
