GeneID1,GeneID2,weight
2099,1051,1.0
2099,5705,1.0
2099,5451,1.0
2099,8554,1.0
2099,2274,1.0
2099,5566,1.0
2099,6654,1.0
2099,5457,1.0
2099,3308,1.0
2099,2770,1.0
2099,904,1.0
2099,2885,1.0
2099,405,1.0
2099,27043,1.0
2099,207,1.0
2099,5058,1.0
2099,10987,1.0
2099,4435,1.0
2099,2308,1.0
2099,10401,1.0
2099,3726,1.0
2099,3727,1.0
2099,2309,1.0
2099,4303,1.0
2099,1432,1.0
2099,6605,1.0
2099,7249,1.0
2099,23054,1.0
2099,1655,1.0
2099,627,1.0
2099,1956,1.0
2099,79004,1.0
2099,5241,1.0
2099,1026,1.0
2099,5992,1.0
2099,857,1.0
2099,10524,1.0
2099,6595,1.0
2099,5295,1.0
2099,5777,1.0
2099,3932,1.0
2099,203068,1.0
2099,3480,1.0
2099,11214,1.0
2099,2064,1.0
2099,3320,1.0
2099,6604,1.0
2099,10376,1.0
2099,805,1.0
2099,808,1.0
2099,7068,1.0
2099,8295,1.0
2099,9564,1.0
2099,1147,1.0
2099,9961,1.0
2099,6776,1.0
2099,3275,1.0
2099,902,1.0
2099,5770,1.0
2099,3326,1.0
2099,7067,1.0
2099,8648,1.0
2099,6195,1.0
2099,10728,1.0
2099,4790,1.0
2099,8202,1.0
2099,51132,1.0
2099,3670,1.0
2099,8861,1.0
2099,4193,1.0
2099,7709,1.0
2099,6294,1.0
2099,8764,1.0
2099,10155,1.0
2099,6597,1.0
2099,80205,1.0
2099,1460,1.0
2099,10499,1.0
2099,6890,1.0
2099,5998,1.0
2099,11331,1.0
2099,10891,1.0
2099,23788,1.0
2099,23421,1.0
2099,9112,1.0
2099,9667,1.0
2099,8431,1.0
2099,573,1.0
2099,8503,1.0
2099,30836,1.0
2099,4616,1.0
2099,10912,1.0
2099,8204,1.0
2099,55147,1.0
2099,6047,1.0
2099,6942,1.0
2099,7182,1.0
2099,24148,1.0
2099,4331,1.0
2099,1022,1.0
2099,9325,1.0
2099,6881,1.0
2099,196,1.0
2099,5927,1.0
2099,64324,1.0
2099,994,1.0
2099,5469,1.0
2099,2314,1.0
2099,208,1.0
2099,6801,1.0
2099,5458,1.0
2099,57109,1.0
2099,55629,1.0
2099,4878,1.0
2099,190,1.0
2099,7391,1.0
2099,8805,1.0
2099,56924,1.0
2099,55062,1.0
2099,8668,1.0
2099,2063,1.0
2099,4350,1.0
2099,2101,1.0
2099,9971,1.0
2099,5433,1.0
2099,2872,1.0
2099,64210,1.0
2099,10463,1.0
2099,29028,1.0
2099,9584,1.0
2099,135112,1.0
2099,133522,1.0
2099,1854,1.0
2099,10614,1.0
2099,84172,1.0
2099,22899,1.0
2099,10286,1.0
2099,79039,1.0
2099,7181,1.0
2099,286827,1.0
2099,9862,1.0
2099,7799,1.0
2099,547,1.0
2099,7494,1.0
2099,57541,1.0
2099,8450,1.0
7324,9604,1.0
7324,4734,1.0
7324,23327,1.0
7324,7337,1.0
7324,5047,1.0
7324,22888,1.0
7324,5089,1.0
7324,6048,1.0
7324,9025,1.0
7324,4850,1.0
7324,220869,1.0
7324,7326,1.0
367,9604,1.0
367,2908,1.0
367,8031,1.0
367,2099,1.0
367,10273,1.0
367,7329,1.0
367,6714,1.0
367,2934,1.0
367,801,1.0
367,2597,1.0
367,5970,1.0
367,1387,1.0
367,1616,1.0
367,1499,1.0
367,4088,1.0
367,672,1.0
367,3725,1.0
367,3276,1.0
367,2033,1.0
367,2965,1.0
367,4086,1.0
367,6667,1.0
367,595,1.0
367,3091,1.0
367,2516,1.0
367,3065,1.0
367,4089,1.0
367,9612,1.0
367,9611,1.0
367,5594,1.0
367,5925,1.0
367,836,1.0
367,5451,1.0
367,7341,1.0
367,8554,1.0
367,811,1.0
367,5829,1.0
367,2274,1.0
