diseaseID,GeneID,score
C0002395,923,-1.2136623
C0002395,924,0.7494445
C0002395,925,0.6713336
C0002395,926,0.48513594
C0002395,928,1.0055362
C0002395,929,-0.1751577
C0002395,930,-0.27801386
C0002395,931,-0.1429323
C0002395,932,-0.14803717
C0002395,933,-0.15932304
C0002395,939,0.2023035
C0002395,940,-0.31692696
C0002395,941,-0.22705905
C0002395,942,-0.17473309
C0002395,943,-0.24042165
C0002395,944,-0.18740919
C0002395,946,0.25595447
C0002395,947,-1.7398505
C0002395,948,-0.9708054
C0002395,949,0.97990763
C0002395,950,0.14259905
C0002395,952,-0.069619395
C0002395,953,-0.08497765
C0002395,954,0.14945786
C0002395,955,0.96127975
C0002395,957,-0.12276511
C0002395,958,0.41057658
C0002395,959,-0.27294067
C0002395,960,-0.5319211
C0002395,961,-0.94507205
C0002395,962,0.9681041
C0002395,963,0.70374775
C0002395,965,0.3800515
C0002395,966,-0.06786647
C0002395,967,0.8758209
C0002395,970,0.45141265
C0002395,971,0.20951407
C0002395,972,0.62937987
C0002395,973,0.59321773
C0002395,974,0.66722953
C0002395,975,0.3045407
C0002395,977,0.2501516
C0002395,978,0.3128773
C0002395,983,-0.18353799
C0002395,984,-0.7102364
C0002395,988,-0.76850927
C0002395,990,0.4953671
C0002395,991,0.21941566
C0002395,993,-0.16840836
C0002395,994,0.6889731
C0002395,995,0.24228138
C0002395,996,0.1789414
C0002395,997,-0.09367264
C0002395,998,0.054596446
C0002395,999,-0.18070059
C0002395,1000,1.266722
C0002395,1001,0.67081785
C0002395,1002,0.009767698
C0002395,1003,0.60923326
C0002395,1004,-0.7591067
C0002395,1005,0.9148334
C0002395,1006,-0.270499
C0002395,1007,0.64689744
C0002395,1008,0.792223
C0002395,1009,0.20906359
C0002395,1010,0.89206696
C0002395,1012,1.3150889
C0002395,1013,0.6015755
C0002395,1014,-0.69896996
C0002395,1016,0.5600476
C0002395,1017,-0.14223565
C0002395,1018,0.19847128
C0002395,1019,-0.23874319
C0002395,1020,-0.23649564
C0002395,1021,-0.36657014
C0002395,1022,-0.2021147
C0002395,1024,0.5419085
C0002395,1025,-0.12868758
C0002395,1026,-0.18588178
C0002395,1027,-0.12312607
C0002395,1028,-0.14429107
C0002395,1029,0.16478473
C0002395,1030,-0.34032702
C0002395,1031,0.60046494
C0002395,1032,0.49823743
C0002395,1033,0.54668796
C0002395,1039,-0.055496227
C0002395,1041,-0.79633844
C0002395,1044,-0.19943649
C0002395,1045,-0.0803912
C0002395,1046,-0.27068144
C0002395,1047,0.09203534
C0002395,1048,-0.20636728
C0002395,1050,-0.108278126
C0002395,1051,0.3791014
C0002395,1052,1.1149087
C0002395,1053,0.27003896
C0002395,1054,-0.14444858
C0002395,1056,0.52246857
C0002395,1058,0.16227968
C0002395,1059,-0.04979485
C0002395,1062,0.6147648
C0002395,1063,0.64231074
C0002395,1066,1.0380423
C0002395,1068,0.5455235
C0002395,1069,-0.15864599
C0002395,1070,-0.2089
C0002395,1071,0.9140834
C0002395,1072,0.32010335
C0002395,1073,0.5814315
C0002395,1075,0.7305033
C0002395,1080,-0.17972736
C0002395,1081,0.9850404
C0002395,1084,-0.03366803
C0002395,132158,0.96713877
C0002395,1088,-0.91198015
C0002395,1101,-0.47097486
C0002395,1102,-0.009699807
C0002395,1104,-0.1680804
C0002395,1105,0.19160014
C0002395,1107,0.7541847
C0002395,1108,1.1064438
C0002395,1111,-1.3096368
C0002395,1112,-0.7041174
C0002395,1113,0.11980824
C0002395,1114,1.0002422
C0002395,1119,0.48042902
C0002395,1121,0.40760082
C0002395,1122,0.18620557
C0002395,1123,0.56336355
C0002395,1124,0.5410978
C0002395,1128,1.3304638
C0002395,1129,1.2876155
C0002395,1130,0.5162145
